,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
0,343990.0,other,проводные,5.0,20.0,other,вставные,закрытые,да,17.0,12.0,24.0,США,нет,нет,нет,нет
1,13490.0,other,проводные,20.0,35.0,черный,полноразмерные,закрытые,нет,315.0,12.0,24.0,не указано,нет,нет,нет,нет
3,19890.0,other,проводные,10.0,45.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
5,349990.0,other,проводные,6.0,26.0,не указано,полноразмерные,открытые,да,390.0,12.0,24.0,США,нет,нет,нет,нет
6,890.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,15.0,12.0,24.0,не указано,да,нет,нет,нет
7,33390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
8,14000.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,6.0,12.0,24.0,не указано,да,нет,нет,нет
9,2290.0,other,проводные,5.0,45.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,да,нет,нет,нет
10,180000.0,other,беспроводные,10.0,40.0,черный,полноразмерные,закрытые,да,375.0,12.0,24.0,other,да,да,нет,нет
11,369990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,437.0,12.0,24.0,other,нет,нет,нет,нет
12,9290.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,17.0,12.0,24.0,Китай,нет,нет,нет,нет
15,93590.0,other,проводные,5.0,30.0,не указано,полноразмерные,открытые,да,375.0,12.0,24.0,не указано,нет,нет,нет,да
16,3990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,нет,нет,нет,нет
17,171000.0,other,проводные,10.0,50.0,черный,полноразмерные,открытые,да,612.0,12.0,24.0,США,нет,нет,нет,нет
19,13890.0,other,проводные,20.0,18.0,other,вставные,закрытые,да,20.0,24.0,36.0,не указано,нет,нет,нет,нет
20,3690.0,other,проводные,10.0,36.0,черный,полноразмерные,полуоткрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
21,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
22,3590.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,нет,да,нет
23,42890.0,other,проводные,10.0,40.0,черный,вставные,полуоткрытые,да,9.0,12.0,24.0,не указано,нет,нет,нет,нет
24,4390.0,other,проводные,8.0,42.0,черный,вставные,закрытые,да,20.0,12.0,24.0,Китай,нет,нет,нет,нет
25,14990.0,other,проводные,12.0,24.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,нет,нет,нет,нет
26,4190.0,other,проводные,20.0,40.0,не указано,полноразмерные,закрытые,да,290.0,12.0,24.0,Китай,да,нет,нет,нет
27,64990.0,other,проводные,20.0,28.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
28,9990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,760.0,12.0,24.0,other,да,нет,нет,да
30,33390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
32,24890.0,other,проводные,10.0,39.8,не указано,полноразмерные,открытые,нет,235.0,12.0,24.0,не указано,нет,нет,нет,нет
34,105190.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
35,4190.0,other,беспроводные,20.0,20.0,other,накладные,закрытые,нет,160.0,12.0,24.0,не указано,да,да,нет,да
37,109990.0,other,беспроводные,10.0,30.0,не указано,полноразмерные,закрытые,да,320.0,12.0,24.0,не указано,да,да,нет,да
38,13990.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,35.0,12.0,24.0,Китай,да,да,нет,нет
39,89990.0,other,проводные,20.0,20.0,не указано,полноразмерные,открытые,да,328.0,24.0,36.0,США,нет,нет,нет,да
40,4290.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,10.0,12.0,24.0,не указано,нет,нет,нет,нет
41,5290.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
42,159990.0,other,проводные,10.0,25.0,не указано,полноразмерные,открытые,да,445.0,12.0,24.0,США,нет,нет,нет,нет
43,32990.0,other,беспроводные,10.0,50.0,не указано,полноразмерные,закрытые,нет,490.0,12.0,24.0,не указано,да,да,нет,нет
44,6490.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
45,4690.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,250.0,12.0,24.0,не указано,да,да,нет,нет
46,74990.0,other,проводные,20.0,18.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
48,34990.0,other,беспроводные,20.0,40.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
49,20390.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,35.0,12.0,24.0,Китай,нет,нет,нет,нет
50,22400.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,нет,33.0,12.0,24.0,Китай,да,да,нет,нет
51,3700.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,102.0,12.0,24.0,не указано,да,да,нет,нет
52,24990.0,other,проводные,20.0,23.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
53,29990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,7.0,12.0,24.0,other,да,да,нет,нет
54,49990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,7.0,12.0,24.0,other,да,да,нет,нет
55,1590.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
56,289990.0,other,проводные,10.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
57,26990.0,other,проводные,5.0,35.0,не указано,полноразмерные,полуоткрытые,да,290.0,12.0,24.0,не указано,нет,нет,нет,нет
58,349900.0,other,проводные,33.0,30.0,не указано,полноразмерные,открытые,да,425.0,60.0,72.0,other,нет,нет,нет,нет
60,23800.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,33.0,12.0,24.0,Китай,да,да,нет,нет
61,36430.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
62,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
63,27090.0,other,проводные,40.0,5.0,не указано,вставные,закрытые,да,20.0,12.0,24.0,Китай,нет,нет,нет,нет
65,1790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
66,4190.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,9.5,12.0,24.0,Китай,да,нет,нет,нет
67,780000.0,other,проводные,5.0,54.0,не указано,полноразмерные,открытые,да,530.0,12.0,24.0,не указано,нет,нет,нет,нет
69,40990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
70,6190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,18.0,12.0,24.0,не указано,да,да,да,нет
71,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
72,39990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,307.0,12.0,24.0,other,да,да,нет,да
