URL;Название;Цена;Отзывы;Бренд;Тип наушников;Минимальная воспроизводимая частота, Гц;Максимальная воспроизводимая частота, кГц;Чувствительность наушников, дБ;Тип излучателя;Разъемы;Количество драйверов;Цвет;Вид вставных наушников;Вид наушников;Диаметр мембраны, мм;Длина кабеля, м;Материал;Материал амбушюр;Оттенок;Тип акустического оформления;Форма разъема;Чехол/футляр в комплекте;Модель;Вес, г;Гарантия, мес;Срок службы, мес;Страна производства;Сопротивление, Ом;Отсоединяемый кабель;Вид беспроводных наушников;Версия Bluetooth;Мультипоинт;Поддержка кодеков;Сенсорное управление;Стандарт защиты;Разъем для зарядки;Время работы, ч;Встроенный микрофон;Время работы с зарядным футляром, ч;Голосовой помощник;Тип гарнитуры;Система активного шумоподавления;Быстрая зарядка;Беспроводная зарядка;Балансный кабель;Складная конструкция;NFC;Съемный микрофон;Тип микрофона;Чувствительность микрофона, дБ;Максимальная воспроизводимая частота микрофона, кГц;Минимальная воспроизводимая частота микрофона, Гц;Объёмный звук;Костная проводимость;Вид кабеля;Область применения;Коэффициент нелинейных искажений (КНИ), %;Максимальный уровень звукового давления, дБ;Подсветка;Диаметр звуковода, мм
https://doctorhead.ru/product/campfire_audio_trifecta_chrome_sky/;Campfire Audio Trifecta Chrome Sky;343990.0;0;Campfire Audio;проводные;5;20;94;;, ,;3;бесцветный;с проводом;вставные;10;1.2;акрил, силикон;силикон;chrome;закрытые;прямой;да;Campfire Audio Trifecta;17;12;24;США;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/fostex_t40rp_mkiii/;Fostex T40RP MK3;13490.0;0;Fostex;проводные;20;35;91;;3.5mm jack , 6.35mm jack;1;черный;;полноразмерные;50;3;пластик, металл;синтетическая кожа;;закрытые;прямой;;Fostex T40RPmk3;315;12;24;;50;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/ag_cotsubu_mk2_plus_sakura/;AG COTSUBU MK2+ Sakura;;нет;AG;беспроводные;20;20;;динамический;USB-C;1;розовый;true wireless;вставные;;;пластик;силикон;pink;закрытые;;да;AG COTSUBU MK2+;7;12;24;Япония;;;;5.2;да;,;да;;;5;да;20;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/moondrop_kato_matte_steel/;MoonDrop Kato Matte Steel;19890.0;0;MoonDrop;проводные;10;45;123;;2-pin,;1;серый;;вставные;10;1.2;сталь;пластик;matte steel;закрытые;прямой;да;MoonDrop KATO;;12;24;Китай;32;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/final_audio_ze8000_black/;Final Audio ZE8000 Black;19990.0;0;;беспроводные;20;44;;динамический;USB-C;2;черный;true wireless;вставные;;;пластик;силикон;black;закрытые;;да;Final Audio ZE8000;17;12;24;Япония;;;;5.2;;, , ,;да;;;5;да;15;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/abyss_diana_tc_dark_bronze/;Abyss Diana TC Dark Bronze;349990.0;0;Abyss;проводные;6;26;90;;3.5mm jack;1;;;полноразмерные;63;1.5;пластик, алюминий, кожа;кожа;dark bronze;открытые;прямой;да;Abyss Diana TC;390;12;24;США;69;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/jbl_t110_red/;JBL T110 Red;890.0;0;JBL;проводные;20;20;96;;;1;красный;с проводом;вставные;9;1.2;пластик;силикон;red;закрытые;г-образный;;JBL T110;15;12;24;;16;;;;;;;;;;да;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/apple_airpods_pro_2nd_gen_with_magsafe_usbc_2023_antiquity_gloss/;Apple AirPods Pro 2nd gen with MagSafe USB-C (2023) Antiquity Gloss;33390.0;0;Apple;беспроводные;20;20;;динамический;USB-C;1;;true wireless;вставные;;;пластик;силикон;antiquity gloss;закрытые;;да;Apple AirPods Pro (2nd generation) with MagSafe 2023;50;12;24;Китай;;;;5.3;да;,;да;;USB-C , QI;6;да;30;Siri;;да;да;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/ultrasone_pyco_black/;Ultrasone Pyco Black;14000.0;0;Ultrasone;проводные;20;20;96;;;1;черный;;вставные;;1.2;металл;силикон;satin black;закрытые;г-образный;да;Ultrasone Pyco;6;12;24;;16;;;;;;;;;;да;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/simgot_ew100_dsp/;SIMGOT EW100 DSP;2290.0;0;SIMGOT;проводные;5;45;122;;;1;серебряный;с проводом;вставные;10;1.2;пластик, алюминий;силикон;silver;закрытые;г-образный;да;SIMGOT EW100;7;12;24;Китай;32;;;;;;;;;;да;;;;;;;;;;;;;;;;;;;;;;
